name,year,Countries,Director,Genre,Time,IMDb,id
Eternal Sunshine of the Spotless Mind,2004,USA,?????? ??????,"?????????, ??????????, ?????",108,"8,30",108
The Bucket List,2007,USA,??? ??????,"?????, ???????, ???????????",97,"7,40",109
"Monsters, Inc.",2001,USA,"??? ??????, ????? ?????????, ?? ??????","??????????, ???????, ???????",92,"8,10",110
Gone Girl,2014,USA,????? ??????,"???????, ?????, ????????",149,"8,10",111
Le Fabuleux destin d'Amelie Poulain,2001,"France, Germany",???-???? ????,"?????????, ???????",122,"8,30",112
Reservoir Dogs,1991,USA,??????? ?????????,"???????, ?????, ????????",100,"8,30",113
Sherlock Holmes,2009,"USA, Germany",??? ????,"??????, ???????, ?????",128,"7,60",114
Ghost,1990,USA,?????? ?????,"???????, ???????, ?????",127,"7,00",115
Good Will Hunting,1997,USA,??? ??? ????,?????,126,"8,30",116
Hacksaw Ridge,2016,"Australia, USA",??? ??????,"?????, ???????, ?????????",139,"8,20",117
The Terminal,2004,USA,?????? ????????,"?????, ?????????, ???????",124,"7,30",118
The Fifth Element,1997,France,??? ??????,"??????????, ??????, ???????",126,"7,70",119
Inside Out,2015,USA,"??? ??????, ??????? ???? ??????","??????????, ????????, ???????",95,"8,20",120
Ray,2004,USA,?????? ???????,"?????, ?????????, ??????",152,"7,70",121
Ocean's Eleven,2001,USA,?????? ?????????,"???????, ????????",116,"7,80",122
Million Dollar Baby,2004,USA,????? ??????,"?????, ?????",132,"8,10",123
La leggenda del pianista sull'oceano,1998,Italy,???????? ?????????,"?????, ?????????, ??????",120,"8,10",124
The Hobbit: An Unexpected Journey,2012,"USA, New Zeland",????? ???????,"???????, ???????????, ????????",169,"7,90",125
My Name Is Khan,2010,India,????? ??????,?????,155,"8,00",126
Dead Poets Society,1989,USA,????? ???,"?????, ???????",128,"8,10",127
Inside I'm Dancing,2004,"UK, Ireland, France",?????? ?????????,"?????, ???????, ?????????",98,"7,90",128
The Boy in the Striped Pyjamas,2008,"UK, USA",???? ??????,"?????, ???????",90,"7,80",129
The Dark Knight Rises,2012,"UK, USA",????????? ?????,"??????????, ??????, ???????",165,"8,40",130
The Pursuit of Happyness,2006,USA,???????? ???????,"?????, ?????????",117,"8,00",131
The Help,2011,"USA, India, ???",???? ??????,?????,146,"8,10",132
The Truman Show,1998,USA,????? ???,"??????????, ?????, ???????",103,"8,10",133
Django Unchained,2012,USA,??????? ?????????,"?????, ???????, ???????????",165,"8,40",134
Some Like It Hot,1959,USA,????? ???????,"?????????, ???????, ????????",119,"8,20",135
Scent of a Woman,1992,USA,?????? ?????,?????,156,"8,00",136
Hachi: A Dog's Tale,2008,"UK, USA",????? ??????????,"?????, ????????",89,"8,10",137
Les Choristes,2004,"France, Swiss, Germany",??????? ????????,"?????, ??????",95,"7,90",138
One Flew Over the Cuckoo's Nest,1975,USA,????? ??????,?????,133,"8,70",139
The Lord of the Rings: The Two Towers,2002,"USA, New Zeland",????? ???????,"???????, ?????, ???????????",179,"8,70",140
The Lord of the Rings: The Return of the King,2003,"USA, New Zeland",????? ???????,"???????, ?????, ???????????",201,"8,90",141
The Lord of the Rings: The Fellowship of the Ring,2001,"USA, New Zeland",????? ???????,"???????, ?????, ???????????",178,"8,80",142
The Pianist,2002,"Poland, France, UK",????? ????????,"?????, ???????, ?????????",149,"8,50",143
Pulp Fiction,1994,USA,??????? ?????????,"???????, ???????, ????????",154,"8,90",144
